Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Sun Cleric,Piety,Рейндж/кастер,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Sun Cleric,Piety,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Sun Cleric,Piety,Рейндж/кастер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Sun Cleric,Piety,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Sun Cleric,Piety,Рейндж/кастер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Sun Cleric,Piety,Рейндж/кастер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Sun Cleric,Piety,Рейндж/кастер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Sun Cleric,Piety,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Sun Cleric,Piety,Рейндж/кастер,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Sun Cleric,Seraphim,Танк,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Sun Cleric,Seraphim,Танк,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Sun Cleric,Seraphim,Танк,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Sun Cleric,Seraphim,Танк,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Sun Cleric,Seraphim,Танк,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Sun Cleric,Seraphim,Танк,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Defensive Cooldown (Raid-Wide),Raid Wall (Divine Sac),Спек,specBuffs,Sun Cleric,Seraphim,Танк,Raid Wall (Divine Sac),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Sun Cleric,Seraphim,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Sun Cleric,Seraphim,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Damage Done Reduction (5%),Damage done debuff (5%),Спек,specDebuffs,Sun Cleric,Seraphim,Танк,Damage done debuff (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Templar,Zealot,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Templar,Zealot,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Templar,Zealot,Мили-DPS,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Templar,Zealot,Мили-DPS,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Templar,Crusader,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Templar,Crusader,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Templar,Crusader,Мили-DPS,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Templar,Crusader,Мили-DPS,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Templar,Oathkeeper,Танк,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Templar,Oathkeeper,Танк,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Templar,Oathkeeper,Танк,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Templar,Oathkeeper,Танк,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Defensive Cooldown (Raid-Wide),Raid Wall (Divine Sac),Спек,specBuffs,Templar,Oathkeeper,Танк,Raid Wall (Divine Sac),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Templar,Oathkeeper,Танк,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Templar,Oathkeeper,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Primalist,Wildwalker,Мили-DPS,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Primalist,Wildwalker,Мили-DPS,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Primalist,Wildwalker,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Primalist,Wildwalker,Мили-DPS,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Primalist,Wildwalker,Мили-DPS,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Primalist,Wildwalker,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Primalist,Wildwalker,Мили-DPS,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Primalist,Wildwalker,Мили-DPS,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Primalist,Wildwalker,Мили-DPS,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Primalist,Mountain King,Танк,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Primalist,Mountain King,Танк,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Primalist,Mountain King,Танк,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Primalist,Mountain King,Танк,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Primalist,Mountain King,Танк,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Primalist,Mountain King,Танк,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Primalist,Mountain King,Танк,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specBuffs,Primalist,Mountain King,Танк,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Primalist,Mountain King,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Primalist,Mountain King,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Primalist,Geomancy,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Primalist,Geomancy,Рейндж/кастер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Primalist,Geomancy,Рейндж/кастер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Primalist,Geomancy,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Primalist,Geomancy,Рейндж/кастер,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Primalist,Geomancy,Рейндж/кастер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Primalist,Geomancy,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specBuffs,Primalist,Geomancy,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specDebuffs,Primalist,Geomancy,Рейндж/кастер,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Primalist,Geomancy,Рейндж/кастер,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Primalist,Grovekeeper,Саппорт,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Primalist,Grovekeeper,Саппорт,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Primalist,Grovekeeper,Саппорт,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Primalist,Grovekeeper,Саппорт,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Primalist,Grovekeeper,Саппорт,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Primalist,Grovekeeper,Саппорт,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Primalist,Grovekeeper,Саппорт,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Primalist,Grovekeeper,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Primalist,Grovekeeper,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Primalist,Grovekeeper,Саппорт,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Bloodmage,Sanguine,Рейндж/кастер,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Bloodmage,Sanguine,Рейндж/кастер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Bloodmage,Sanguine,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specDebuffs,Bloodmage,Sanguine,Рейндж/кастер,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Bloodmage,Sanguine,Рейндж/кастер,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Bloodmage,Sanguine,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Bloodmage,Fleshweaver,Саппорт,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Bloodmage,Fleshweaver,Саппорт,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Bloodmage,Fleshweaver,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Bloodmage,Fleshweaver,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Bloodmage,Fleshweaver,Саппорт,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Bloodmage,Accursed,Мили-DPS,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Bloodmage,Accursed,Мили-DPS,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Bloodmage,Accursed,Мили-DPS,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Bloodmage,Accursed,Мили-DPS,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Bloodmage,Accursed,Мили-DPS,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Bloodmage,Accursed,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Bloodmage,Eternal,Танк,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Bloodmage,Eternal,Танк,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Bloodmage,Eternal,Танк,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Bloodmage,Eternal,Танк,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Bloodmage,Eternal,Танк,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Bloodmage,Eternal,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Bloodmage,Eternal,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Pyromancer,Flameweaving,Хилер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Pyromancer,Flameweaving,Хилер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Pyromancer,Flameweaving,Хилер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Pyromancer,Flameweaving,Хилер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Pyromancer,Flameweaving,Хилер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Pyromancer,Flameweaving,Хилер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Pyromancer,Flameweaving,Хилер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Pyromancer,Draconic,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Pyromancer,Draconic,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Pyromancer,Draconic,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Pyromancer,Draconic,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Pyromancer,Draconic,Рейндж/кастер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Pyromancer,Draconic,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Pyromancer,Draconic,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Pyromancer,Draconic,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Pyromancer,Incineration,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Pyromancer,Incineration,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Pyromancer,Incineration,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Pyromancer,Incineration,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Pyromancer,Incineration,Рейндж/кастер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Pyromancer,Incineration,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specBuffs,Pyromancer,Incineration,Рейндж/кастер,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Pyromancer,Incineration,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Ranger,Brigand,Мили-DPS,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Ranger,Brigand,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Ranger,Brigand,Мили-DPS,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Ranger,Brigand,Мили-DPS,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Ranger,Brigand,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Ranger,Brigand,Мили-DPS,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Ranger,Archery,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Ranger,Archery,Рейндж/кастер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Ranger,Archery,Рейндж/кастер,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Ranger,Archery,Рейндж/кастер,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
